Digit,Allocated to
608,United Kingdom of Great Britain and Northern Ireland - Ascension Island
609,Burundi (Republic of)
610,Benin (Republic of)
611,Botswana (Republic of)
612,Central African Republic
613,Cameroon (Republic of)
615,Congo (Republic of the)
616,Comoros (Union of the)
617,Cabo Verde (Republic of)
618,France - Crozet Archipelago
619,Côte d'Ivoire (Republic of)
620,Comoros (Union of the)
621,Djibouti (Republic of)
622,Egypt (Arab Republic of)
624,Ethiopia (Federal Democratic Republic of)
625,Eritrea
626,Gabonese Republic
627,Ghana
629,Gambia (Republic of the)
630,Guinea-Bissau (Republic of)
631,Equatorial Guinea (Republic of)
632,Guinea (Republic of)
633,Burkina Faso
634,Kenya (Republic of)
635,France - Kerguelen Islands
636,Liberia (Republic of)
637,Liberia (Republic of)
638,South Sudan (Republic of)
642,Libya (State of)
644,Lesotho (Kingdom of)
645,Mauritius (Republic of)
647,Madagascar (Republic of)
649,Mali (Republic of)
650,Mozambique (Republic of)
654,Mauritania (Islamic Republic of)
655,Malawi
656,Niger (Republic of the)
657,Nigeria (Federal Republic of)
659,Namibia (Republic of)
660,France - Reunion (French Department of)
661,Rwanda (Republic of)
662,Sudan (Republic of the)
663,Senegal (Republic of)
664,Seychelles (Republic of)
665,United Kingdom of Great Britain and Northern Ireland - Saint Helena
666,Somalia (Federal Republic of)
667,Sierra Leone
668,Sao Tome and Principe (Democratic Republic of)
669,Eswatini (Kingdom of)
670,Chad (Republic of)
671,Togolese Republic
672,Tunisia
674,Tanzania (United Republic of)
675,Uganda (Republic of)
676,Democratic Republic of the Congo
677,Tanzania (United Republic of)
678,Zambia (Republic of)
679,Zimbabwe (Republic of)
701,Argentine Republic
710,Brazil (Federative Republic of)
720,Bolivia (Plurinational State of)
725,Chile
730,Colombia (Republic of)
735,Ecuador
740,United Kingdom of Great Britain and Northern Ireland - Falkland Islands (Malvinas)
745,France - Guiana (French Department of)
750,Guyana
755,Paraguay (Republic of)
760,Peru
765,Suriname (Republic of)
770,Uruguay (Eastern Republic of)
775,Venezuela (Bolivarian Republic of)
